price,title,location
"₦ 200,000,000","7bdrm Duplex in Alagbaka, Akure for sale","Ondo, Akure"
"₦ 2,000,000 Outright Price",Snowfall Park and Garden Phase 1 Extension,"Plateau, Jos"
"₦ 1,950,000 Outright Price",Affordable Estate Land for Sale in Enugu,"Enugu, Enugu / Enugu State"
"₦ 4,800,000 Outright Price",Oakwood Prime Estate Omagwa Portharcourt,"Rivers, Port-Harcourt"
"₦ 38,500,000",3 Bedrooms Bungalow In Mowe,"Ogun, Obafemi-Owode"
"₦ 40,000,000","Furnished 4bdrm Villa in Chafford 100 Estate, Abeokuta South for sale","Ogun, Abeokuta South"
"₦ 1,200,000",2bdrm Apartment in Adewole Housing for rent,Ilorin West
"₦ 9,000,000","Furnished 9bdrm Duplex in Fate, Ilorin West for rent",Ilorin West
"₦ 200,000",Furnished 1bdrm House in Ilorin West for rent,Ilorin West
"₦ 500,000","1bdrm Apartment in Olorunshogo, Ilorin West for rent",Ilorin West
"₦ 500,000","2bdrm Block of Flats in Zone K, Ilorin West for rent",Ilorin West
"₦ 700,000","Furnished 2bdrm Block of Flats in Peculiar Estate, Ilorin West",Ilorin West
"₦ 300,000","1bdrm Apartment in Best Choice Estate, Ilorin West for rent",Ilorin West
"₦ 320,000",1bdrm Apartment in Ilorin West for rent,Ilorin West
"₦ 600,000",2bdrm Apartment in Ilorin West for rent,Ilorin West
"₦ 6,500,000 per annum",4bdrm Duplex in Also Estate for rent,Ajao Estate
"₦ 2,000,000 per annum",3bdrm Block of Flats in Ajao Estate for rent,Ajao Estate
"₦ 7,000,000 per annum",4bdrm Duplex in Ajao for rent,Ajao Estate
"₦ 3,000,000 per annum",2bdrm Block of Flats in Ajao Estate for rent,Ajao Estate
"₦ 21,000,000 per annum",3bdrm Block of Flats in Ajao Estate Lagos for rent,Ajao Estate
"₦ 2,500,000",4bdrm Apartment in Gwagwalada for rent,Gwagwalada
"₦ 2,500,000",4bdrm Bungalow in Gwagwalada for rent,Gwagwalada
"₦ 750,000,000",1bdrm Apartment in Gwagwalada for rent,Gwagwalada
"₦ 1,300,000",2bdrm Apartment in Gwagwalada for rent,Gwagwalada
"₦ 1,400,000",2bdrm Apartment in Gwagwalada for rent,Gwagwalada
"₦ 600,000",1bdrm Apartment in Gwagwalada for rent,Gwagwalada
"₦ 450,000",Studio Apartment in Gwagwalada for rent,Gwagwalada
"₦ 400,000",1bdrm Room & Parlour in Gwagwalada for rent,Gwagwalada
"₦ 2,200,000",2bdrm Apartment in Gwagwalada for rent,Gwagwalada
"₦ 1,300,000",3bdrm Apartment in Gwagwalada for rent,Gwagwalada
"₦ 1,250,000",2bdrm Apartment in Gwagwalada for rent,Gwagwalada
"₦ 450,000",1bdrm Apartment in Gwagwalada for rent,Gwagwalada
"₦ 650,000",1bdrm Apartment in Gwagwalada for rent,Gwagwalada
"₦ 350,000",1bdrm Apartment in Gwagwalada for rent,Gwagwalada
"₦ 320,000",1bdrm Block of Flats in Gwagwalada for rent,Gwagwalada
"₦ 360,000",1bdrm Apartment in Gwagwalada for rent,Gwagwalada
"₦ 34,000",Furnished 10bdrm House in Akoka for rent,"Lagos, Yaba"
"₦ 6,000,000 per annum","8bdrm Duplex in Gra Okefia Ososgbo, Osogbo for rent","Osun, Osogbo"
"₦ 30,000,000 per annum","10bdrm Apartment in Opebi, Victoria Island for Rent","Lagos, Victoria Island"
"₦ 80,000,000 per annum",10bdrm Duplex in Asokoro for rent,"Abuja, Asokoro"
"₦ 25,000,000 per annum",10bdrm House in Adeniyi Jones for rent,"Lagos, Ikeja"
"₦ 7,000,000",10bdrm Block of Flats in Ipaja / Ipaja for rent,"Lagos, Ipaja"
"₦ 500,000 per annum","Furnished 10bdrm Block of Flats in Ooni Crownland, Ife for rent","Osun, Ife"
